Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
26500000,1500,Powai,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19000000,1155,Powai,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
25000000,1445,Powai,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
19000000,1150,Powai,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
230000000,6900,Worli,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1
33000000,740,Powai,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
38000000,750,Powai,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1
9500000,595,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
9500000,595,Powai,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1
11000000,585,Powai,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
18000000,980,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
26500000,1050,Powai,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
42000000,2020,Powai,3,0,1,1,0,0,0,1,1,1,1,1,1,1,1
18800000,985,Powai,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1
15500000,840,Powai,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16000000,995,Powai,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
11000000,585,Powai,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
9000000,578,Powai,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1
16500000,970,Powai,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
19600000,985,Powai,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1
47000000,2050,Powai,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1
23300000,1250,Powai,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1
20000000,1095,Ambivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74500000,3582,Worli,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71500000,3182,Worli,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21000000,910,Powai,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
19800000,1130,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
4500000,600,Dombivali,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1
35000000,1700,Powai,3,0,1,1,1,0,1,1,1,1,0,1,0,1,1
82000000,2044,Worli,3,0,1,0,0,0,1,1,1,1,0,1,0,1,1
18200000,980,Powai,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
6000000,1000,Dombivali,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
8016000,809,Dombivali,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4043000,408,Dombivali,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4498000,454,Dombivali,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
8294000,834,Dombivali,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
6242000,630,Dombivali,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
13899999,750,Powai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100000,350,Dombivali,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
12600000,650,Powai,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10000000,600,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
